mes,&nbsp;Iguazú - Orquesta Los Grillitos,San Juan - Orquesta Diego de Salina,Coro de La Matanza,Orquesta del Bicentenario - Gran Rex,Tucumán - Orquesta Barrio Maciel,Santa Fe - Coro El Refugio,Orquesta Escuela Especial Rafael...,Berisso - Orquesta (Escuela de...,Adrogué - Coro (Escuela N.º 1),Coro de la Escuela N.º 5021 de Salta,Salta - Orquesta República de la India,Tucumán - Coro Las Talitas,La Pampa - Unidad 7,"Coro Escuela N.º 14 ""Coro de Moreno"" -...",Orquesta del Bicentenario ? Gira NOA,Orquesta del Bicentenario - Palacio...,Buenos Aires - Orquesta Retiro,Orquesta Hogar Escuela de Corrientes,Orquesta Escuela Nº 409 de La Rioja,Orquesta Infanto Juvenil de Esteban...,Orquesta Escuela de Los Andes,Coro Escuela de Comercio N.º 4 de...,Chaco - Orquesta Comandante Andresito,Orquesta Infanto Juvenil de Florencio...,"Salta - Coro Dakapo, Escuela 11 de...",Buenos Aires - Orquesta Lugano,Santa Fe - Orquesta Juvenil de La...
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,101,0,0,0,0,0,94,0,0,0,0,0,0,0,94,0,0,0,0,0,94,0,0,0
2013-07,0,0,94,0,0,0,94,0,0,0,0,0,0,94,0,0,0,0,94,53,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,41,154,79,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,94,0,0,0,0,71,79,0,0,0,0,34,79,0,27,0,0,0
2013-10,0,0,0,79,0,0,0,0,0,0,0,0,0,68,0,0,0,90,27,0,0,0,0,41,0,0,0
2013-11,0,0,49,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,19,49,49,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,67,0,0,0,63,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2014-02,0,0,0,0,0,74,0,74,0,0,0,0,0,0,0,0,37,0,0,0,0,0,59,0,0,0,26
2014-03,0,66,0,0,0,66,0,0,0,0,0,81,0,0,0,0,22,0,0,0,0,0,0,0,66,0,0
2014-04,66,0,0,0,0,0,0,0,0,55,15,0,66,0,0,0,0,0,0,0,0,0,0,11,0,59,0
2014-05,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,42,0,0,0,0,0,42,0,0,0,0,0,0,0,42,0,0,0,0,0,42,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
