mes,La tierra en armas,El hijo de Salta,Salta se desangra,La Guerra Gaucha
2013-05,0,0,0,0
2013-06,0,0,0,0
2013-07,0,0,0,0
2013-08,0,0,0,0
2013-09,0,0,0,0
2013-10,0,0,0,0
2013-11,0,0,0,0
2013-12,0,0,0,0
2014-01,0,0,0,0
2014-02,0,0,0,0
2014-03,0,0,0,0
2014-04,0,0,0,0
2014-05,0,0,0,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,0,0,0,0
2014-09,0,0,0,0
2014-10,0,0,0,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,0,0,0,0
2015-02,0,0,0,0
2015-03,0,0,0,0
2015-04,0,0,0,0
2015-05,106,91,95,106
2015-06,79,106,129,133
2015-07,0,79,0,0
2015-08,0,0,0,0
2015-09,0,0,0,0
2015-10,69,58,54,58
2015-11,0,0,15,0
2015-12,0,0,0,0
2016-01,0,0,0,0
2016-02,0,0,0,0
2016-03,0,0,0,0
2016-04,0,0,0,0
2016-05,0,39,0,0
2016-06,0,39,39,39
2016-07,71,71,71,50
2016-08,39,39,39,78
2016-09,0,0,0,0
2016-10,0,0,0,0
