mes,Especial Juventudes,Carlos Cruz,Camila Vallejo,Otilia Lux,Luzmila Carpio,Isabel Allende,Padre Alejandro Solalinde,Robert Longa,Lila Downs,Mercedes Olivera,Jorge Blandón,Fronteras invisibles. Especial...,Con voz propia: comunicación popular...,Pisagua (Especial Chile),Tania Ramirez,Víctor Gaviria,Leonida Zurita,Álvaro García Linera,El pasado que no pasa (Especial...,Elena Poniatowska,Adán Chávez,Zapatismo: a veinte años del alzamiento,Amaranta Gómez Regalado,Jorge Sanjinés,Ernesto Cardenal,Ayotzinapa,Rosalina Tuyuc
2013-05,0,0,109,109,0,0,0,0,0,60,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,109,60,0,0,49,0,0,0,0,27,0,0,0,0,0,0,0,0,0,109,0,120
2013-07,0,0,27,38,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,38
2013-08,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,27,0,0,0,0,0,38,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,27,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42,0,0,0,0
2014-06,0,0,0,0,27,0,0,0,53,0,53,0,0,0,0,0,53,0,0,0,0,0,0,53,0,0,0
2014-07,0,53,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53,53,0,0,0
2014-08,0,0,0,0,0,0,0,0,53,0,0,27,0,53,0,0,0,0,53,0,0,53,0,0,0,0,0
2014-09,38,0,0,0,0,0,0,0,0,0,0,26,0,53,0,0,0,0,26,0,0,53,0,0,0,0,0
2014-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,53,0,0,0,0
2014-11,0,0,0,0,53,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,49,0,0,0,0,53,53,0,27,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,53,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
2015-04,0,53,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,53,0,0,0,0,0,0,0,0,26
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,182,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,65,0,0,0,0,65,0,0,0,0,0,0,0,130,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,46,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,83,0,0,0,83,0,0,0,0,0,0,0,0,0,0,83,0,0,83,0,0,0,0
2016-08,0,0,0,60,0,0,0,0,0,60,0,0,0,0,45,0,0,0,0,0,0,0,0,0,60,0,60
2016-09,0,60,45,0,0,60,60,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,85,0
2016-10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
